Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A14006_001
"36047014900","14000US36047014900","Census Tract 149","Census Tract 149, Kings County, New York","ny","140","00","ACSSF","0004596",,,,,"36","047",,,,"014900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5859,140481
"36047015000","14000US36047015000","Census Tract 150","Census Tract 150, Kings County, New York","ny","140","00","ACSSF","0004597",,,,,"36","047",,,,"015000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598,76083
"36047015100","14000US36047015100","Census Tract 151","Census Tract 151, Kings County, New York","ny","140","00","ACSSF","0004598",,,,,"36","047",,,,"015100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240,146458
"36047015200","14000US36047015200","Census Tract 152","Census Tract 152, Kings County, New York","ny","140","00","ACSSF","0004599",,,,,"36","047",,,,"015200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,92650
"36047015300","14000US36047015300","Census Tract 153","Census Tract 153, Kings County, New York","ny","140","00","ACSSF","0004600",,,,,"36","047",,,,"015300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622,138594
"36047015400","14000US36047015400","Census Tract 154","Census Tract 154, Kings County, New York","ny","140","00","ACSSF","0004601",,,,,"36","047",,,,"015400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
"36047015500","14000US36047015500","Census Tract 155","Census Tract 155, Kings County, New York","ny","140","00","ACSSF","0004602",,,,,"36","047",,,,"015500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3993,163967
"36047015700","14000US36047015700","Census Tract 157","Census Tract 157, Kings County, New York","ny","140","00","ACSSF","0004603",,,,,"36","047",,,,"015700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4111,123008
"36047015900","14000US36047015900","Census Tract 159","Census Tract 159, Kings County, New York","ny","140","00","ACSSF","0004604",,,,,"36","047",,,,"015900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4804,149900
"36047016000","14000US36047016000","Census Tract 160","Census Tract 160, Kings County, New York","ny","140","00","ACSSF","0004605",,,,,"36","047",,,,"016000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965,82837
"36047016100","14000US36047016100","Census Tract 161","Census Tract 161, Kings County, New York","ny","140","00","ACSSF","0004606",,,,,"36","047",,,,"016100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595,150469
"36047016200","14000US36047016200","Census Tract 162","Census Tract 162, Kings County, New York","ny","140","00","ACSSF","0004607",,,,,"36","047",,,,"016200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294,80590
"36047016300","14000US36047016300","Census Tract 163","Census Tract 163, Kings County, New York","ny","140","00","ACSSF","0004608",,,,,"36","047",,,,"016300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388,101688
"36047016400","14000US36047016400","Census Tract 164","Census Tract 164, Kings County, New York","ny","140","00","ACSSF","0004609",,,,,"36","047",,,,"016400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,106570
"36047016500","14000US36047016500","Census Tract 165","Census Tract 165, Kings County, New York","ny","140","00","ACSSF","0004610",,,,,"36","047",,,,"016500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5919,173939
"36047016600","14000US36047016600","Census Tract 166","Census Tract 166, Kings County, New York","ny","140","00","ACSSF","0004611",,,,,"36","047",,,,"016600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,113527
"36047016700","14000US36047016700","Census Tract 167","Census Tract 167, Kings County, New York","ny","140","00","ACSSF","0004612",,,,,"36","047",,,,"016700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5422,173113
"36047016800","14000US36047016800","Census Tract 168","Census Tract 168, Kings County, New York","ny","140","00","ACSSF","0004613",,,,,"36","047",,,,"016800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,88750
"36047016900","14000US36047016900","Census Tract 169","Census Tract 169, Kings County, New York","ny","140","00","ACSSF","0004614",,,,,"36","047",,,,"016900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822,117256
"36047017000","14000US36047017000","Census Tract 170","Census Tract 170, Kings County, New York","ny","140","00","ACSSF","0004615",,,,,"36","047",,,,"017000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3484,76857
"36047017100","14000US36047017100","Census Tract 171","Census Tract 171, Kings County, New York","ny","140","00","ACSSF","0004616",,,,,"36","047",,,,"017100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069,134821
"36047017200","14000US36047017200","Census Tract 172","Census Tract 172, Kings County, New York","ny","140","00","ACSSF","0004617",,,,,"36","047",,,,"017200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3262,82869
"36047017400","14000US36047017400","Census Tract 174","Census Tract 174, Kings County, New York","ny","140","00","ACSSF","0004618",,,,,"36","047",,,,"017400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191,99750
"36047017500","14000US36047017500","Census Tract 175","Census Tract 175, Kings County, New York","ny","140","00","ACSSF","0004619",,,,,"36","047",,,,"017500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"36047017600","14000US36047017600","Census Tract 176","Census Tract 176, Kings County, New York","ny","140","00","ACSSF","0004620",,,,,"36","047",,,,"017600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,63981
"36047017700","14000US36047017700","Census Tract 177","Census Tract 177, Kings County, New York","ny","140","00","ACSSF","0004621",,,,,"36","047",,,,"017700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"36047017800","14000US36047017800","Census Tract 178","Census Tract 178, Kings County, New York","ny","140","00","ACSSF","0004622",,,,,"36","047",,,,"017800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3073,70491
"36047017900","14000US36047017900","Census Tract 179","Census Tract 179, Kings County, New York","ny","140","00","ACSSF","0004623",,,,,"36","047",,,,"017900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348,61311
"36047018000","14000US36047018000","Census Tract 180","Census Tract 180, Kings County, New York","ny","140","00","ACSSF","0004624",,,,,"36","047",,,,"018000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518,68690
"36047018100","14000US36047018100","Census Tract 181","Census Tract 181, Kings County, New York","ny","140","00","ACSSF","0004625",,,,,"36","047",,,,"018100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3691,96452
"36047018200","14000US36047018200","Census Tract 182","Census Tract 182, Kings County, New York","ny","140","00","ACSSF","0004626",,,,,"36","047",,,,"018200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501,53625
"36047018300","14000US36047018300","Census Tract 183","Census Tract 183, Kings County, New York","ny","140","00","ACSSF","0004627",,,,,"36","047",,,,"018300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675,126507
"36047018400","14000US36047018400","Census Tract 184","Census Tract 184, Kings County, New York","ny","140","00","ACSSF","0004628",,,,,"36","047",,,,"018400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617,63333
"36047018501","14000US36047018501","Census Tract 185.01","Census Tract 185.01, Kings County, New York","ny","140","00","ACSSF","0004629",,,,,"36","047",,,,"018501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4153,26130
