,index,County Code,Site Num,Parameter Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,County Name
77,1715562,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-20,Parts per billion,24,100.0,4.0,8.6,7,11.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
78,1703433,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-20,Parts per billion,8,100.0,6.862500000000002,12.0,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
79,1703068,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-20,Parts per billion,24,100.0,6.908333,14.8,7,20.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
80,1703434,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-21,Parts per billion,8,100.0,9.775,16.1,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
81,1715927,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-21,Parts per billion,6,75.0,4.6000000000000005,6.0,5,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
82,1715563,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-21,Parts per billion,21,88.0,5.2047620000000006,12.4,7,17.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
83,1703069,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-21,Parts per billion,24,100.0,9.8125,18.7,7,26.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
84,1703070,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-22,Parts per billion,24,100.0,10.783333,22.4,22,31.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
85,1703435,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-22,Parts per billion,8,100.0,10.7625,20.2,23,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
86,1715564,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-22,Parts per billion,24,100.0,7.916666999999999,17.5,21,24.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
87,1715928,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-22,Parts per billion,8,100.0,7.9,15.1,23,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
88,1703071,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-23,Parts per billion,24,100.0,15.016667000000002,31.4,2,44.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
89,1715565,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-23,Parts per billion,24,100.0,11.416667,21.6,2,30.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
90,1703436,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-23,Parts per billion,8,100.0,14.975,26.1,5,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
91,1715929,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-23,Parts per billion,8,100.0,11.3625,18.5,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
92,1703072,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-24,Parts per billion,24,100.0,13.454167000000002,24.6,18,34.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
93,1703437,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-24,Parts per billion,8,100.0,13.3875,22.0,14,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
94,1715566,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-24,Parts per billion,24,100.0,9.604167,26.4,13,37.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
95,1715930,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-24,Parts per billion,8,100.0,9.5625,21.9,14,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
96,1715567,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-25,Parts per billion,22,92.0,15.690909,28.5,23,40.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
97,1703438,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-25,Parts per billion,6,75.0,26.95,43.7,20,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
98,1703073,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-25,Parts per billion,20,83.0,26.105,47.4,21,65.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
99,1715931,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-25,Parts per billion,7,88.0,15.542857000000001,26.3,23,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
100,1715568,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-26,Parts per billion,24,100.0,8.145833,26.5,1,37.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
101,1703439,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-26,Parts per billion,8,100.0,11.6875,26.6,2,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
102,1715932,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-26,Parts per billion,8,100.0,8.1125,22.3,2,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
